sp,TOTAL,Lagoa do Papagaio,Granja do Pântano,Caieira,Capão do Fundo,Lagoa do Rincão,Banhado da Alemoa,Lagoa do Sangradouro,Canal da Lagoa,PNLP - Banhado do balneário,PNLP - Trilha do Talhamar,PNLP - Barra da Lagoa,PNLP - praia,PNLP - Figueiras
Certhiaxis cinnamomea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCEDINIDAE,, , , , , , , , , , , , , 
Ceryle torquata,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroceryle amazona,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OUTRAS,, , , , , , , , , , , , , 
Hemithraupis guira,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xolmis irupero,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OUTRAS,,,,,,,,,,,,,,
macarico ni,50,0,0,50,0,0,0,0,0,0,0,0,0,0
Dendrocygna sp,25,0,0,25,0,0,0,0,0,0,0,0,0,0
macariquinhos pequenos,5800,0,0,0,0,0,0,0,0,0,0,5800,0,0
Larus sp,70,0,0,0,0,0,0,0,0,0,0,70,0,0
Tringa sp.,2,0,0,0,0,0,0,0,2,0,0,0,0,0
